"Method","Name","Error","Occurrences"
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1953 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6901e25898>: Failed to establish a new connection: [Errno 111] Connection refused',))",14
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1034 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f98cfc18>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/672 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f9fabb70>: Failed to establish a new connection: [Errno 111] Connection refused',))",11
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/932 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68eb6bd710>: Failed to establish a new connection: [Errno 111] Connection refused',))",11
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1194 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6903e687f0>: Failed to establish a new connection: [Errno 111] Connection refused',))",16
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1918 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69026d3a58>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1553 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f690254c2e8>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/237 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6902d9ec50>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/159 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69103253c8>: Failed to establish a new connection: [Errno 111] Connection refused',))",12
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1838 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69103b1b70>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
